Fund Name,Currency,Risk Rating,Cash,CPFIS-OA,CPFIS-SA,SRS,Management Fee,Annual Expense Ratio,Fund Size(million),Initial,Subsequent,Indicated Gross <br\/> Dividend Yield* (%),Cash Investment,Frequency,FSM Sales Charge
Janus Henderson Horizon Pan European Absolute Return A2 SGD-H,SGD,8,Y,N,N,N,1.20%,2.12%,EUR 360.01,1000,100,,,,0
Blackrock Asian Tiger Bond A3 SGD-H,SGD,4,Y,N,N,Y,1.00%,1.22%,USD 5580.79,1000,100,3.11%,Reinvest,M,0
Blackrock Asian Tiger Bond A8 AUD-H,AUD,4,Y,N,N,Y,1.00%,1.22%,USD 5580.79,1000,100,4.40%,Reinvest,M,0
Allianz European Equity Dividend Cl AM DIS H2-RMB,CNH,8,Y,N,N,Y,1.50%,1.83%,EUR 1745.64,1000,100,8.34%,Payout,M,0
BNY Mellon Japan Small Cap Equity Focus H USD-H,USD,10,Y,N,N,N,2.00%,2.15%,JPY 16179.45,2500,100,,,,0
JPMorgan Funds - Europe Dynamic A (acc) USD-H,USD,8,Y,N,N,Y,1.50%,1.74%,USD 741.30,1000,500,,,,0
Neuberger Berman US Multicap Opportunities A Acc SGD-H,SGD,8,Y,N,N,Y,1.70%,1.90%,USD 577.14,1000,100,,,,0
Blackrock World Technology Fund A2 EUR,EUR,10,Y,N,N,Y,1.50%,1.81%,USD 11806.39,1000,100,,,,0
BNP Paribas Flexi I US Mortgage Classic H MD Dis SGD,SGD,5,Y,N,N,N,0.90%,1.25%,USD 446.00,1000,100,1.99%,Payout,M,0
Natixis Ostrum Euro High Income RA EUR,EUR,4,Y,N,N,N,1.24%,1.30%,EUR 301.70,1000,100,,,,0
Neuberger Berman Short Duration Emerging Market Debt A Acc USD,USD,4,Y,N,N,Y,1.00%,1.13%,USD 6087.65,1000,100,,,,0
JPMorgan Funds - Asia Pacific Income A (mth) SGD-H,SGD,6,Y,N,N,Y,1.50%,1.78%,USD 1954.40,1000,500,3.78%,Reinvest,M,0
Schroder Asian Income A Dis USD-H,USD,6,Y,N,N,N,1.25%,1.44%,SGD 4978.85,1000,100,4.68%,Payout,M,0
Eastspring Investments - Global Market Navigator AS SGD,SGD,6,Y,N,N,N,1.25%,1.59%,USD 173.80,1000,100,,,,0
Eastspring Investments - Global Market Navigator AS SGD-H,SGD,6,Y,N,N,N,1.25%,1.52%,USD 173.80,1000,100,,,,0
Blackrock Asia Pacific Equity Income A6 USD,USD,8,Y,N,N,Y,1.50%,1.85%,USD 215.94,1000,100,2.57%,Reinvest,M,0
Blackrock Global Equity Income A6 SGD-H,SGD,7,Y,N,N,Y,1.50%,1.83%,USD 995.69,1000,100,3.17%,Reinvest,M,0
Blackrock Global Multi-Asset Income A6 SGD-H,SGD,5,Y,N,N,Y,1.50%,1.78%,USD 6747.31,1000,100,5.09%,Reinvest,M,0
Neuberger Berman US Long Short Equity A1 Acc SGD-H,SGD,10,Y,N,N,Y,2.00%,2.25%,USD 424.49,1000,100,,,,0
BNY Mellon Japan Small Cap Equity Focus H Acc SGD-H,SGD,10,Y,N,N,N,2.00%,2.15%,JPY 16179.45,2500,100,,,,0
JPMorgan Funds - Europe Dynamic A (acc) SGD-H,SGD,8,Y,N,N,Y,1.50%,1.80%,USD 741.30,1000,500,,,,0
PIMCO Emerging Markets Bond Fund Cl M Inc AUD-H,AUD,5,Y,N,N,Y,1.69%,1.69%,USD 5300.00,1000,100,3.75%,Payout,M,0
Blackrock World Technology Fund A2 USD,USD,10,Y,N,N,Y,1.50%,1.81%,USD 11806.39,1000,100,,,,0
Blackrock Global Equity Income A8 AUD-H,AUD,7,Y,N,N,Y,1.50%,1.83%,USD 995.69,1000,100,1.90%,Reinvest,M,0
Blackrock European Equity Income A6 USD-H,USD,8,Y,N,N,Y,1.50%,1.83%,EUR 1763.35,1000,100,3.65%,Reinvest,M,0
Blackrock European Equity Income A6 SGD-H,SGD,8,Y,N,N,Y,1.50%,1.83%,EUR 1763.35,1000,100,3.50%,Reinvest,M,0
Fidelity Global Multi Asset Income A-MINCOME(G)-SGD,SGD,6,Y,N,N,Y,1.25%,1.68%,USD 10374.00,1000,100,4.48%,Payout,M,0
Allianz Income and Growth Cl AM DIS USD,USD,7,Y,N,N,Y,1.25%,1.54%,USD 30420.56,1000,100,7.17%,Payout,M,0
Aberdeen Standard China Opportunities SGD,SGD,9,Y,Y,N,Y,1.50%,1.75%,SGD 182.10,1000,100,,,,0
Nikko AM Japan Dividend Equity USD-H,USD,8,Y,N,N,N,1.50%,1.72%,JPY 12072.86,1000,100,4.96%,Payout,M,0
Threadneedle (Lux) US Contrarian Core Equities AU Acc USD,USD,8,Y,N,N,Y,1.50%,1.85%,USD 425.20,1000,100,,,,0
Eastspring Investments - Philippines Equity AS SGD,SGD,9,Y,N,N,Y,1.50%,2.25%,USD 40.10,1000,100,,,,0
Fidelity Indonesia A-USD,USD,9,Y,N,N,N,1.50%,1.93%,USD 280.00,1000,100,1.22%,Reinvest,Y,0
Nikko AM Shenton Short Term Bond USD-H,USD,2,Y,N,N,N,0.30%,0.39%,SGD 364.81,1000,100,,,,0
Fidelity European High Yield A-EUR,EUR,4,Y,N,N,N,1.00%,1.40%,EUR 2669.00,1000,100,3.36%,Payout,Y,0
Fidelity Taiwan A-USD,USD,9,Y,N,N,Y,1.50%,1.91%,USD 88.00,1000,100,0.85%,Reinvest,Y,0
BNP Paribas Emerging Bond Opportunities RH EUR,EUR,5,Y,N,N,N,1.50%,1.87%,USD 479.00,1000,100,,,,0
AB FCP I Global High Yield AT USD,USD,4,Y,N,N,N,1.45%,1.75%,USD 21129.17,2000,750,6.65%,Payout,M,0
Allianz Income and Growth Cl AM DIS H2-GBP,GBP,7,Y,N,N,Y,1.25%,1.54%,USD 30420.56,1000,100,6.77%,Payout,M,0
Fidelity Sustainable Asia Equity A-USD,USD,8,Y,N,N,Y,1.50%,1.92%,USD 3739.00,1000,100,0.09%,Reinvest,Y,0
FTIF - Franklin US Opportunities A Acc SGD-H1,SGD,8,Y,N,N,Y,1.00%,1.81%,USD 7570.00,1000,100,,,,0
Threadneedle (Lux) Global Emerging Market Short-Term Bonds ASH Acc SGD-H,SGD,4,Y,N,N,Y,1.30%,1.60%,SGD 152.30,1000,100,,,,0
Fidelity Asia Pacific Multi Asset Growth & Income A-MINCOME(G)-SGD,SGD,7,Y,N,N,N,1.25%,1.61%,USD 91.00,1000,100,4.24%,Payout,M,0
Eastspring Investments - Japan Dynamic AS SGD-H,SGD,8,Y,Y,N,Y,1.50%,1.59%,JPY 105039.90,1000,100,,,,0
Fidelity Germany A-EUR,EUR,9,Y,N,N,N,1.50%,1.91%,EUR 988.00,1000,100,0.01%,Reinvest,Y,0
Blackrock World Energy Fund A2 AUD-H,AUD,10,Y,N,N,Y,1.75%,2.07%,USD 2018.24,1000,100,,,,0
Blackrock US Small and MidCap Opportunities A2 AUD-H,AUD,10,Y,N,N,Y,1.50%,1.83%,USD 214.18,1000,100,,,,0
Blackrock US Small and MidCap Opportunities A2 EUR,EUR,10,Y,N,N,Y,1.50%,1.83%,USD 214.18,1000,100,,,,0
Fidelity Asia Pacific Strategic Income A-MCDIST(G)-USD,USD,4,Y,N,N,N,1.00%,1.33%,USD 78.00,1000,100,7.58%,Payout,M,0
Threadneedle (Lux) US High Yield Bond ASH Acc SGD-H,SGD,4,Y,N,N,Y,1.25%,1.55%,USD 208.60,1000,100,,,,0
Fidelity Emerging Europe Middle East and Africa A-USD,USD,9,Y,N,N,Y,1.50%,1.93%,USD 474.00,1000,100,2.31%,Reinvest,Y,0
Natixis Harris Associates US Equity RA SGD,SGD,8,Y,N,N,N,1.88%,1.95%,USD 428.70,1500,100,,,,0
Fidelity Global Dividend A-MINCOME(G)-AUD (hedged),AUD,7,Y,N,N,N,1.50%,1.89%,USD 9466.00,1000,100,2.74%,Payout,M,0
Blackrock Global Equity Income A6 USD,USD,7,Y,N,N,Y,1.50%,1.83%,USD 995.69,1000,100,3.20%,Reinvest,M,0
Blackrock Global Multi-Asset Income A6 USD,USD,5,Y,N,N,Y,1.50%,1.78%,USD 6747.31,1000,100,5.05%,Reinvest,M,0
NN (L) Global High Dividend X EUR,EUR,7,Y,N,N,Y,2.00%,2.31%,EUR 384.23,1000,500,,,,0
Schroder ISF Asian Dividend Maximiser A Dis AUD-H,AUD,8,Y,N,N,N,1.50%,1.93%,USD 257.63,1000,100,6.27%,Payout,M,0
Janus Henderson Horizon Pan European Equity A2 EUR,EUR,8,Y,N,N,N,1.20%,1.88%,EUR 454.34,1000,100,,,,0
Allianz Income and Growth Cl AM DIS H2-RMB,CNH,7,Y,N,N,Y,1.25%,1.54%,USD 30420.56,1000,100,9.42%,Payout,M,0
LionGlobal Japan Growth Fund SGD-H,SGD,8,Y,Y,N,Y,1.40%,1.57%,SGD 288.90,1000,100,,,,0
Natixis DNCA Europe Smaller Companies RA SGD,SGD,10,Y,N,N,N,2.05%,2.20%,EUR 136.00,1500,100,,,,0
Wells Fargo US All Cap Growth Fund Cl A Acc USD,USD,9,Y,N,N,N,1.60%,1.73%,USD 1380.00,1000,100,,,,0
Fidelity Latin America A-USD,USD,9,Y,N,N,N,1.50%,1.93%,USD 735.00,1000,100,0.60%,Reinvest,Y,0
LionGlobal India Fund SGD,SGD,9,Y,N,N,Y,1.25%,1.56%,SGD 106.90,1000,100,,,,0
FTIF - Templeton Global Bond A Acc USD,USD,3,Y,N,N,N,0.75%,1.40%,USD 7480.00,1000,100,,,,0
JPMorgan Funds - Emerging Markets Equity A (acc) SGD,SGD,9,Y,N,N,Y,1.50%,1.80%,USD 13332.80,1000,500,,,,0
Neuberger Berman High Yield Bond A MDis SGD-H,SGD,4,Y,N,N,Y,1.20%,1.39%,USD 3677.49,1000,100,6.12%,Payout,M,0
Fidelity Sustainable Asia Equity A-SGD,SGD,8,Y,N,N,Y,1.50%,1.92%,USD 3739.00,1000,100,0.09%,Reinvest,Y,0
Manulife SGD Income A QDis USD-H,USD,3,Y,N,N,N,1.00%,1.14%,SGD 655.80,1000,100,4.03%,Payout,Q,0
Schroder ISF Asian Dividend Maximiser A Acc USD,USD,8,Y,N,N,N,1.50%,1.90%,USD 257.63,1000,100,,,,0
Schroder ISF Asian Dividend Maximiser A Dis USD,USD,8,Y,N,N,N,1.50%,1.90%,USD 257.63,1000,100,6.97%,Payout,M,0
United High Grade Corporate Bond A Acc SGD,SGD,3,Y,N,N,Y,0.80%,1.18%,SGD 56.28,1000,100,,,,0
Janus Henderson Horizon Asian Dividend Income A2 SGD,SGD,8,Y,N,N,N,1.20%,1.94%,USD 127.40,1000,100,,,,0
Nikko AM Global Dividend Equity Dis CNH-H,CNH,7,Y,N,N,N,1.50%,1.71%,USD 70.62,1000,100,5.07%,Payout,M,0
NN (L) Euro High Dividend P EUR,EUR,8,Y,N,N,Y,1.50%,1.80%,EUR 646.64,1000,100,,,,0
PineBridge US Large Cap Research Enhanced A5CP SGD,SGD,8,Y,Y,N,Y,1.00%,1.70%,USD 129.40,1000,100,,,,0
Nikko AM China Onshore Bond Fund RMB,CNH,5,Y,N,N,N,0.90%,1.27%,CNH 133.94,5000,500,4.01%,Payout,M,0
United Asian Income Fund Acc USD,USD,7,Y,N,N,N,1.00%,2.56%,USD 3.92,1000,100,,,,0
Schroder ISF Japanese Equity A Acc USD-H,USD,8,Y,N,N,N,1.25%,1.64%,JPY 188232.14,1000,100,,,,0
BNP Paribas US Mid Cap Classic H SGD,SGD,10,Y,N,N,N,1.75%,2.30%,USD 124.00,1000,100,,,,0
Janus Henderson Horizon Euroland A2 USD-H,USD,8,Y,N,N,N,1.20%,1.90%,EUR 772.79,1000,100,,,,0
Legg Mason ClearBridge - Tactical Dividend Income A Mdis SGD-H Plus,SGD,9,Y,N,N,N,1.25%,1.74%,USD 38.72,1000,100,4.27%,Reinvest,M,0
Blackrock World Healthscience A2 USD,USD,10,Y,N,N,Y,1.50%,1.82%,USD 11459.05,1000,100,,,,0
Allianz Europe Income and Growth Cl AMg DIS EUR,EUR,7,Y,N,N,Y,1.25%,1.55%,EUR 73.86,1000,100,4.45%,Payout,M,0
Phillip Singapore Real Estate Income Cl A SGD,SGD,10,Y,N,N,Y,1.20%,1.34%,SGD 60.54,1000,100,4.43%,Reinvest,Q,0
Janus Henderson Horizon Pan European Absolute Return A2 EUR,EUR,8,Y,N,N,N,1.20%,1.87%,EUR 360.01,1000,100,,,,0
HGIF - Asia ex Japan Equity AD SGD,SGD,8,Y,N,N,Y,1.50%,1.85%,USD 821.55,1000,100,0.35%,Reinvest,Y,0
BNP Paribas China Equity Classic USD,USD,9,Y,N,N,N,1.75%,2.22%,USD 2477.00,1000,100,,,,0
BNP Paribas China Equity Classic Dis USD,USD,9,Y,N,N,N,1.75%,2.22%,USD 2477.00,1000,100,1.30%,Reinvest,Y,0
BNP Paribas China Equity Classic EUR,EUR,9,Y,N,N,N,1.75%,2.22%,USD 2477.00,1000,100,,,,0
JPMorgan Funds - Emerging Markets Local Currency Debt A (acc) USD,USD,5,Y,N,N,Y,1.00%,1.30%,USD 2081.60,1000,100,,,,0
Fullerton Lux Funds - Asian Bonds A Dis SGD-H,SGD,3,Y,N,N,Y,1.00%,1.15%,SGD 492.24,1000,100,3.88%,Payout,Q,0
Blackrock Nutrition A2 EUR-H,EUR,10,Y,N,N,Y,1.50%,1.82%,USD 119.56,1000,100,,,,0
Manulife Global Asset Allocation - Growth A MDis SGD,SGD,6,Y,N,N,Y,1.35%,1.78%,SGD 114.62,1000,100,4.67%,Payout,M,0
JPMorgan Investment Funds - Global Income A (mth) SGD-H,SGD,5,Y,N,N,Y,1.25%,1.42%,USD 28023.80,1000,500,4.13%,Reinvest,M,0
Blackrock World Real Estate Securities A2 USD,USD,10,Y,N,N,Y,1.50%,1.85%,USD 145.98,1000,100,,,,0
Schroder ISF Latin American A Acc USD,USD,9,Y,N,N,N,1.50%,1.88%,USD 215.75,1000,100,,,,0
Allianz Europe Income and Growth Cl AMg DIS H2-AUD,AUD,7,Y,N,N,Y,1.25%,1.55%,EUR 73.86,1000,100,5.33%,Payout,M,0
Threadneedle (Lux) Pan European ESG Equities ASH Acc SGD-H,SGD,8,Y,N,N,Y,1.30%,1.80%,SGD 490.50,1000,100,,,,0
Eastspring Investments Unit Trusts - Asian Infrastructure Equity SGD,SGD,10,Y,N,N,Y,0.50%,1.98%,SGD 17.20,1000,100,,,,0
Aberdeen Standard Thailand Equity SGD,SGD,9,Y,Y,N,Y,1.50%,1.75%,SGD 72.10,1000,100,,,,0
HSBC Portfolios - World Selection 3 AC USD,USD,6,Y,N,N,N,1.20%,1.42%,USD 922.81,1000,100,,,,0
Manulife Global Asset Allocation - Growth A MDis SGD-H,SGD,6,Y,N,N,Y,1.35%,1.78%,SGD 114.62,1000,100,4.70%,Payout,M,0
Eastspring Investments - Asian High Yield Bond Cl A USD,USD,5,Y,N,N,N,1.00%,1.43%,USD 482.10,1000,100,,,,0
Allianz Total Return Asian Equity AM DIS USD,USD,8,Y,N,N,Y,1.75%,2.07%,USD 552.42,1000,100,1.94%,Payout,M,0
Blackrock Global High Yield Bond A2 GBP-H,GBP,4,Y,N,N,Y,1.25%,1.46%,USD 1999.71,1000,100,,,,0
Blackrock US Dollar High Yield Bond A2 SGD-H,SGD,4,Y,N,N,Y,1.25%,1.46%,USD 3594.00,1000,100,,,,0
Blackrock US Dollar High Yield Bond A3 SGD-H,SGD,4,Y,N,N,Y,1.25%,1.46%,USD 3594.00,1000,100,3.54%,Reinvest,M,0
Legg Mason ClearBridge - Value A Acc SGD,SGD,8,Y,N,N,N,1.35%,1.80%,USD 451.00,1000,100,,,,0
Allianz Europe Income and Growth Cl AMg DIS H2-SGD,SGD,7,Y,N,N,Y,1.25%,1.56%,EUR 73.86,1000,100,5.24%,Payout,M,0
DWS Noor Precious Metal Securities A USD,USD,10,Y,N,N,N,1.50%,2.09%,USD 108.51,1000,100,,,,0
Blackrock European Special Situations A2 GBP-H,GBP,8,Y,N,N,Y,1.50%,1.82%,EUR 1232.96,1000,100,,,,0
Allianz Europe Income and Growth Cl AMg DIS H2-USD,USD,7,Y,N,N,Y,1.25%,1.55%,EUR 73.86,1000,100,5.24%,Payout,M,0
LionGlobal Singapore Fixed Income Investment A SGD,SGD,1,Y,Y,Y,Y,0.50%,0.61%,SGD 131.80,1000,100,,,,0
Allianz Income and Growth Cl AM DIS H2-AUD,AUD,7,Y,N,N,Y,1.25%,1.54%,USD 30420.56,1000,100,7.44%,Payout,M,0
Blackrock US Dollar High Yield Bond A6 USD,USD,4,Y,N,N,Y,1.25%,1.46%,USD 3594.00,1000,100,6.06%,Reinvest,M,0
Blackrock US Dollar High Yield Bond A8 AUD-H,AUD,4,Y,N,N,Y,1.25%,1.46%,USD 3594.00,1000,100,5.13%,Reinvest,M,0
FSSA Dividend Advantage A QDIS USD,USD,8,Y,N,N,N,1.50%,1.71%,USD 3108.80,1000,100,3.98%,Payout,Q,0
JPMorgan Funds - ASEAN Equity A (acc) SGD,SGD,9,Y,N,N,Y,1.50%,1.80%,USD 1091.90,1000,500,,,,0
First Eagle Amundi International AS-C SGD,SGD,7,Y,N,N,N,2.00%,2.20%,USD 6904.33,1000,100,,,,0
Eastspring Investments - Global Emerging Markets Dynamic AS SGD,SGD,9,Y,N,N,N,1.50%,1.97%,USD 591.50,1000,100,,,,0
Blackrock Asian Dragon A2 AUD-H,AUD,8,Y,N,N,Y,1.50%,1.85%,USD 1918.63,1000,100,,,,0
Blackrock Asian Dragon A2 USD,USD,8,Y,N,N,Y,1.50%,1.85%,USD 1918.63,1000,100,,,,0
Blackrock European Fund A2 EUR,EUR,8,Y,N,N,Y,1.50%,1.82%,EUR 1260.93,1000,100,,,,0
Manulife SGD Income C Qdis SGD,SGD,3,Y,N,N,Y,0.80%,0.94%,SGD 655.80,100000,10000,4.02%,Payout,Q,0
LionGlobal Japan Growth Fund SGD,SGD,8,Y,Y,N,Y,1.40%,1.57%,SGD 288.90,1000,100,,,,0
LionGlobal Taiwan SGD,SGD,9,Y,N,N,Y,1.25%,2.01%,SGD 11.70,1000,100,,,,0
Aviva Investors - Multi-Strategy Target Return A EUR,EUR,10,Y,N,N,Y,1.50%,1.59%,EUR 1210.41,1000,100,,,,0
Schroder Multi-Asset Revolution A Dis SGD,SGD,6,Y,Y,Y,Y,1.25%,1.51%,SGD 460.89,1000,500,3.95%,Reinvest,Q,0
JPMorgan Funds - Greater China A (dist) USD,USD,8,Y,N,N,Y,1.50%,1.78%,USD 2645.20,1000,100,0.01%,Reinvest,Y,0
Fidelity Global Multi Asset Income A-HMDIST(G)-AUD (hedged),AUD,6,Y,N,N,N,1.25%,1.68%,USD 10374.00,1000,100,3.92%,Payout,M,0
Neuberger Berman Emerging Market Debt Local Currency A MDis SGD-H,SGD,5,Y,N,N,Y,1.50%,1.70%,USD 2875.12,1000,100,6.83%,Payout,M,0
Blackrock ASEAN Leaders A2 USD,USD,9,Y,N,N,Y,1.50%,1.85%,USD 47.97,1000,100,,,,0
Blackrock Emerging Europe A2 EUR,EUR,9,Y,N,N,Y,1.75%,2.07%,EUR 617.39,1000,100,,,,0
Blackrock World Healthscience A2 AUD-H,AUD,10,Y,N,N,Y,1.50%,1.82%,USD 11459.05,1000,100,,,,0
Blackrock Latin American A2 SGD-H,SGD,9,Y,N,N,Y,1.75%,2.11%,USD 853.41,1000,100,,,,0
Blackrock Nutrition A2 USD,USD,10,Y,N,N,Y,1.50%,1.82%,USD 119.56,1000,100,,,,0
Blackrock Emerging Markets Corporate Bond A2 EUR-H,EUR,5,Y,N,N,Y,1.50%,1.69%,USD 836.53,1000,100,,,,0
Manulife SGD Income A QDis AUD-H,AUD,3,Y,N,N,N,1.00%,1.14%,SGD 655.80,1000,100,4.03%,Payout,Q,0
Manulife Asia Pacific Investment Grade Bond A MDis SGD,SGD,3,Y,N,N,Y,0.75%,0.90%,SGD 450.63,1000,100,3.64%,Payout,M,0
FSSA Singapore Growth A Acc SGD,SGD,9,Y,N,N,Y,1.50%,1.91%,SGD 37.50,1000,100,,,,0
Blackrock World Mining A2 USD,USD,10,Y,N,N,Y,1.75%,2.07%,USD 5994.96,1000,100,,,,0
FTIF - Franklin Income A MDIS SGD-H1,SGD,6,Y,N,N,Y,0.85%,1.69%,USD 1240.00,1000,100,6.01%,Payout,M,0
LionGlobal South East Asia SGD,SGD,9,Y,N,N,Y,1.50%,1.99%,SGD 11.80,1000,100,,,,0
Eastspring Investments - India Discovery Fund AS SGD,SGD,9,Y,N,N,N,1.50%,6.47%,USD 1.00,1000,100,,,,0
Blackrock Global Corporate Bond A2 EUR-H,EUR,3,Y,N,N,Y,0.90%,1.11%,USD 2144.61,1000,100,,,,0
Fidelity Asian Smaller Companies A-ACC-SGD,SGD,10,Y,N,N,N,1.50%,1.93%,USD 919.00,1000,100,,,,0
Legg Mason ClearBridge - US Aggressive Growth A Acc SGD-H,SGD,9,Y,N,N,N,1.30%,1.74%,USD 744.00,1000,100,,,,0
Blackrock European Fund A2 SGD-H,SGD,8,Y,N,N,Y,1.50%,1.82%,EUR 1260.93,1000,100,,,,0
Fidelity Greater China Multi Asset Growth & Income A-MINCOME(G)-USD,USD,8,Y,N,N,N,1.25%,1.61%,USD 24.00,1000,100,4.00%,Payout,M,0
Fidelity Greater China Multi Asset Growth & Income A-MINCOME(G)-SGD,SGD,8,Y,N,N,N,1.25%,1.61%,USD 24.00,1000,100,4.06%,Payout,M,0
JPMorgan Investment Funds - Global Select Equity A (acc) USD,USD,7,Y,N,N,Y,1.50%,1.73%,USD 757.80,1000,100,,,,0
Schroder Asian Investment Grade Credit A SGD,SGD,3,Y,Y,Y,Y,0.80%,0.90%,SGD 454.19,1000,500,3.54%,Reinvest,Q,0
United International Growth Fund SGD,SGD,7,Y,N,N,Y,1.00%,1.42%,SGD 54.41,500,100,,,,0
APS Alpha A SGD,SGD,8,Y,N,N,Y,,,SGD 60.00,5500,5500,,,,0
LionGlobal Short Duration Bond Cl A Acc SGD,SGD,2,Y,N,N,Y,0.50%,0.57%,SGD 671.70,1000,100,,,,0
Wells Fargo Emerging Markets Equity Income A Dis USD,USD,9,Y,N,N,N,1.85%,2.15%,USD 258.43,1100,100,2.63%,Payout,M,0
Nikko AM Shenton Asia Pacific Fund SGD,SGD,8,Y,N,N,Y,1.50%,1.77%,SGD 101.52,1000,100,,,,0
United Sustainable Asia Top-50 Fund SGD,SGD,8,Y,N,N,Y,1.50%,2.85%,SGD 13.35,1000,100,,,,0
JPMorgan Funds - Emerging Markets Opportunities A (acc) USD,USD,9,Y,N,N,Y,1.50%,1.73%,USD 5567.80,1000,500,,,,0
Fidelity Emerging Market Debt A-MDIST-AUD (hedged),AUD,5,Y,N,N,N,1.20%,1.61%,USD 2820.00,1000,100,3.34%,Payout,M,0
JPMorgan Investment Funds - Global Income A (mth) USD-H,USD,5,Y,N,N,Y,1.25%,1.40%,USD 28023.80,1000,500,4.10%,Payout,M,0
JPMorgan Funds - Asia Pacific Income A (irc) AUD-H,AUD,6,Y,N,N,Y,1.50%,1.78%,USD 1954.40,1000,500,3.52%,Payout,M,0
Blackrock European Fund A2 USD-H,USD,8,Y,N,N,Y,1.50%,1.82%,EUR 1260.93,1000,100,,,,0
Schroder ISF Greater China F Acc SGD (CPF),SGD,8,N,Y,N,N,1.50%,1.70%,USD 3781.12,1000,100,,,,0
Fidelity Global Health Care A-EUR,EUR,10,Y,N,N,N,1.50%,1.90%,EUR 1217.00,1000,100,,,,0
United E-Commerce Fund SGD,SGD,10,Y,N,N,Y,1.50%,1.95%,SGD 21.41,1000,100,,,,0
Infinity US 500 Stock Index SGD,SGD,8,Y,N,N,Y,0.47%,0.71%,SGD 159.70,1000,100,,,,0
Nikko AM Global Green Bond Fd,SGD,2,Y,N,N,Y,1.00%,1.99%,SGD 9.07,1000,100,2.07%,Reinvest,Y,0
LionGlobal SGD Money Market SGD,SGD,0,Y,N,N,Y,0.25%,0.33%,SGD 320.90,1000,100,,,,0
Fidelity Global Focus A-ACC-USD,USD,7,Y,N,N,N,1.50%,1.92%,USD 872.00,1000,100,,,,0
First Eagle Amundi Income Builder AU2-MD USD,USD,6,Y,N,N,N,1.60%,1.80%,USD 3179.25,1000,100,5.01%,Payout,M,0
First Eagle Amundi Income Builder AHS-MD SGD-H,SGD,6,Y,N,N,N,1.60%,1.80%,USD 3179.25,1000,100,5.01%,Payout,M,0
First Eagle Amundi International AHS-QD SGD-H,SGD,7,Y,N,N,N,2.00%,2.20%,USD 6904.33,1000,100,3.91%,Payout,Q,0
UBS (Lux) Bond Fund - Euro High Yield P MDIS USD-H,USD,4,Y,N,N,N,1.01%,1.36%,EUR 1668.94,1000,100,5.47%,Payout,M,0
JPMorgan Funds - Brazil Equity A (acc) SGD,SGD,9,Y,N,N,Y,1.50%,1.80%,USD 184.30,1000,500,,,,0
JPMorgan Funds - Emerging Markets Dividend A (mth) SGD,SGD,9,Y,N,N,Y,1.50%,1.80%,USD 513.80,1000,500,3.33%,Payout,M,0
FSSA Dividend Advantage A QDIS SGD,SGD,8,Y,Y,N,Y,1.50%,1.71%,SGD 4125.80,1000,100,3.95%,Payout,Q,0
Eastspring Investments Funds - Monthly Income Plan A SGD,SGD,4,Y,N,N,Y,1.25%,1.40%,SGD 746.30,1000,100,5.83%,Reinvest,Y,0
Allianz US High Yield Cl AM DIS H2-RMB,CNH,4,Y,N,N,Y,1.00%,1.37%,USD 1133.47,1000,100,8.86%,Payout,M,0
Natixis Harris Associates US Equity PA SGD-H,SGD,8,N,Y,N,N,1.68%,1.75%,USD 428.70,1500,100,,,,0
Fidelity European Growth SR-ACC-EUR (CPF),EUR,8,N,Y,N,N,1.30%,1.69%,EUR 6370.00,1000,100,,,,0
Allianz Total Return Asian Equity AM DIS H2-AUD,AUD,8,Y,N,N,Y,1.75%,2.07%,USD 552.42,1000,100,2.11%,Payout,M,0
Nikko AM Shenton Asia Dividend Equity Fund SGD,SGD,9,Y,N,N,Y,1.50%,2.98%,SGD 6.99,1000,100,4.05%,Reinvest,M,0
HSBC Portfolios - World Selection 5 AMH SGD,SGD,6,Y,N,N,Y,1.30%,1.63%,USD 354.93,1000,100,2.02%,Payout,M,0
DWS Invest Global Infrastructure LDMH(P) SGD,SGD,9,Y,N,N,N,1.50%,1.65%,EUR 1271.60,1000,100,7.69%,Payout,M,0
Blackrock China Fund A2 USD,USD,9,Y,N,N,Y,1.50%,1.84%,USD 1311.10,1000,100,,,,0
HGIF - Global Emerging Markets Bond AC USD,USD,5,Y,N,N,N,1.25%,1.60%,USD 2239.45,1000,100,,,,0
Blackrock Fixed Income Global Opportunities A2 EUR-H,EUR,4,Y,N,N,Y,1.00%,1.22%,USD 10399.00,1000,100,,,,0
Blackrock Fixed Income Global Opportunities A5 SGD-H,SGD,4,Y,N,N,Y,1.00%,1.22%,USD 10399.00,1000,100,1.62%,Reinvest,Q,0
Blackrock Fixed Income Global Opportunities A6 USD,USD,4,Y,N,N,Y,1.00%,1.22%,USD 10399.00,1000,100,3.01%,Reinvest,M,0
DWS Invest Emerging Markets Corporates LDM USD,USD,5,Y,N,N,N,1.10%,1.25%,USD 175.20,1000,100,3.91%,Payout,M,0
Blackrock European Equity Income A8 AUD-H,AUD,8,Y,N,N,Y,1.50%,1.83%,EUR 1763.35,1000,100,4.48%,Reinvest,M,0
HGIF - Economic Scale US Equity AD USD,USD,8,Y,N,N,N,0.60%,0.95%,USD 247.56,1000,100,0.59%,Reinvest,Y,0
DWS Invest Emerging Markets Corporates LDMH SGD,SGD,5,Y,N,N,N,1.10%,1.29%,USD 175.20,1000,100,5.01%,Payout,M,0
