Fund Name,Currency,Risk Rating,Cash,CPFIS-OA,CPFIS-SA,SRS,Management Fee,Annual Expense Ratio,Fund Size(million),Initial,Subsequent,Indicated Gross <br\/> Dividend Yield* (%),Cash Investment,Frequency,FSM Sales Charge
Fidelity Global Multi Asset Income A-ACC-USD,USD,6,Y,N,N,N,1.25%,1.68%,USD 10374.00,1000,100,,,,0
Fidelity Global Multi Asset Income A-QINCOME(G)-SGD,SGD,6,Y,N,N,Y,1.25%,1.68%,USD 10374.00,1000,100,4.56%,Payout,Q,0
Eastspring Investments - Asian Equity Income AADM AUD-H,AUD,8,Y,N,N,N,1.50%,1.61%,USD 613.40,1000,100,3.31%,Payout,M,0
JPMorgan Funds - Emerging Markets Opportunities A (acc) SGD-H,SGD,9,Y,N,N,Y,1.50%,1.80%,USD 5567.80,1000,500,,,,0
Principal Asia Pacific Dynamic Income Fund Class USD,USD,8,Y,N,N,N,1.50%,0.93%,USD 1120.00,1000,100,3.19%,Payout,Q,0
LGlobal Funds - Asia High Dividend Equity A Dis SGD,SGD,8,Y,N,N,N,1.50%,2.10%,USD 3.30,1000,1000,,Reinvest,Y,0
Threadneedle (Lux) Enhanced Commodities AGH Acc GBP-H,GBP,10,Y,N,N,Y,1.75%,2.05%,USD 475.80,1000,100,,,,0
DWS Invest Top Dividend LCH(P) SGD,SGD,7,Y,N,N,N,1.50%,1.61%,EUR 2503.60,1000,100,,,,0
Eastspring Investments - Asian High Yield Bond ANDM NZD-H,NZD,5,Y,N,N,N,1.00%,1.46%,USD 482.10,1000,100,6.93%,Payout,M,0
Fidelity Global Dividend A-MINCOME(G)-SGD,SGD,7,Y,N,N,Y,1.50%,1.89%,USD 9466.00,1000,100,2.72%,Payout,M,0
FTIF - Templeton Asian Growth A (acc) SGD-H1,SGD,8,Y,N,N,Y,1.35%,2.20%,USD 3550.00,1000,100,,,,0
Aviva Investors - Global High Yield Bond Am USD,USD,4,Y,N,N,Y,1.20%,1.41%,USD 6223.97,1000,100,5.61%,Payout,M,0
Amundi Funds Euroland Equity Small Cap A2 (C) USD,USD,10,Y,N,N,N,1.85%,2.10%,null ,1000,100,,,,0
Legg Mason Western Asset - Global High Yield A Mdis AUD-H Plus,AUD,4,Y,N,N,N,1.25%,1.55%,USD 104.00,1000,100,4.88%,Reinvest,M,0
Threadneedle (Lux) US High Yield Bond AUP Inc USD,USD,4,Y,N,N,Y,1.25%,1.55%,USD 208.60,1000,100,5.27%,Payout,M,0
JPMorgan Funds - Emerging Markets Dividend A (mth) SGD-H,SGD,9,Y,N,N,Y,1.50%,1.80%,USD 513.80,1000,500,3.25%,Reinvest,M,0
United Asia Pacific Real Estate Income Dis SGD,SGD,10,Y,N,N,Y,1.50%,2.38%,SGD 16.80,1000,100,4.50%,Payout,M,0
BNP Paribas Europe Convertible EUR,EUR,5,Y,N,N,N,1.20%,1.62%,EUR 125.00,1000,100,,,,0
BNP Paribas Latin America Equity USD,USD,9,Y,N,N,N,1.75%,2.22%,USD 54.00,1000,100,,,,0
Allianz US High Yield Cl AM DIS H2-AUD,AUD,4,Y,N,N,Y,1.00%,1.36%,USD 1133.47,1000,100,6.52%,Payout,M,0
PIMCO Global Bond Fund Cl E Inc GBP-H,GBP,2,Y,N,N,Y,1.39%,1.39%,USD 14500.00,1000,500,0.53%,Payout,Q,0
Threadneedle (Lux) Emerging Market Corporate Bond ASH Acc SGD-H,SGD,5,Y,N,N,Y,1.35%,1.65%,USD 49.00,1000,100,,,,0
Nikko AM Singapore Dividend Equity SGD,SGD,8,Y,N,N,Y,1.25%,1.48%,SGD 364.30,1000,100,5.17%,Payout,M,0
Legg Mason ClearBridge - Value A Acc SGD-H,SGD,8,Y,N,N,N,1.35%,1.80%,USD 451.00,1000,100,,,,0
BNP Paribas Consumer Innovators Classic Cap USD,USD,10,Y,N,N,N,1.50%,1.97%,EUR 890.00,1000,100,,,,0
Schroder Asian Income A Dis SGD,SGD,6,Y,N,N,Y,1.25%,1.44%,SGD 4978.85,1000,100,4.69%,Payout,M,0
Blackrock World Energy Fund A2 SGD-H,SGD,10,Y,N,N,Y,1.75%,2.07%,USD 2018.24,1000,100,,,,0
Fidelity Global Dividend A-MINCOME(G)-USD,USD,7,Y,N,N,N,1.50%,1.89%,USD 9466.00,1000,100,2.64%,Payout,M,0
Manulife Global Fund - Strategic Income Fund AA USD,USD,4,Y,N,N,N,1.25%,,USD 33.12,1000,100,,Reinvest,Y,0
Eastspring Investments - Asian Equity Income AS SGD-H,SGD,8,Y,Y,N,Y,1.50%,1.61%,USD 613.40,1000,100,,,,0
Janus Henderson Horizon Asian Dividend Income A3 SGD,SGD,8,Y,N,N,N,1.20%,1.94%,USD 127.40,1000,100,3.94%,Payout,Q,0
Eastspring Investments - Asian High Yield Bond ASDM SGD-H,SGD,5,Y,N,N,N,1.00%,1.45%,USD 482.10,1000,100,6.98%,Payout,M,0
Schroder ISF Global Climate Change Equity A Acc USD,USD,9,Y,N,N,N,1.50%,1.84%,USD 3197.20,1000,100,,,,0
Eastspring Investments - US Corporate Bond ASDM SGD-H,SGD,3,Y,N,N,N,0.90%,1.60%,USD 4377.10,1000,100,2.90%,Payout,M,0
HGIF - Economic Scale Global Equity AD SGD,SGD,7,Y,N,N,Y,0.60%,0.95%,USD 99.47,1000,100,1.48%,Reinvest,Y,0
JPMorgan Funds - Global Natural Resources A (acc) SGD,SGD,10,Y,N,N,Y,1.50%,1.80%,USD 927.70,1000,500,,,,0
PIMCO Asia Strategic Interest Bond Fund Cl E Acc EUR,EUR,4,Y,N,N,Y,1.50%,1.50%,USD 169.90,1000,100,,,,0
Fullerton Dynamic Strategies - Aggressive A SGD,SGD,9,Y,N,N,Y,1.20%,1.78%,SGD 29.86,1000,100,,,,0
Fidelity Singapore A-SGD,SGD,8,Y,N,N,N,1.50%,1.91%,USD 97.00,1000,100,1.91%,Reinvest,Y,0
Schroder ISF Global Dividend Maximiser A Dis SGD,SGD,7,Y,N,N,N,1.50%,1.86%,USD 1502.56,1500,100,6.61%,Payout,Q,0
NN (L) Emerging Markets Debt (Local Currency) P SGD-H,SGD,4,Y,N,N,Y,1.00%,1.33%,USD 61.28,1000,100,,,,0
Eastspring Investments Unit Trusts - Global Balanced SGD,SGD,6,Y,N,N,Y,1.35%,1.64%,SGD 15.20,1000,100,,,,0
Schroder ISF Emerging Markets Debt Absolute Return A Dis SGD-H,SGD,5,Y,N,N,N,1.50%,1.89%,USD 2789.63,1500,100,4.16%,Payout,Q,0
PIMCO Total Return Bond Fund Cl E Acc SGD-H,SGD,3,Y,N,N,Y,1.40%,1.40%,USD 6300.00,1000,500,,,,0
Neuberger Berman Systematic Global Equity A Acc SGD-H,SGD,7,Y,N,N,Y,1.30%,1.60%,USD 9.26,1000,100,,,,0
United SGD Fund Cl A Acc SGD,SGD,2,Y,Y,Y,Y,0.63%,0.68%,SGD 2288.19,1000,100,,,,0
LionGlobal Malaysia SGD,SGD,9,Y,N,N,Y,1.25%,2.14%,SGD 9.10,1000,100,,,,0
UBS (Lux) Equity Fund - Greater China P Acc SGD,SGD,8,Y,N,N,N,1.87%,2.41%,SGD 2725.84,1000,500,,,,0
United Income Focus Trust Acc USD,USD,6,Y,N,N,N,1.25%,1.55%,USD 1024.78,1000,100,,,,0
Aberdeen Standard European Opportunities SGD,SGD,8,Y,Y,N,Y,1.50%,1.75%,SGD 40.50,1000,100,,,,0
HGIF - Brazil Equity AD SGD,SGD,9,Y,N,N,Y,1.75%,2.15%,USD 167.64,1000,100,2.22%,Reinvest,Y,0
Neuberger Berman Systematic Global Equity A Acc USD,USD,7,Y,N,N,Y,1.30%,1.60%,USD 8.29,1000,100,,,,0
FTIF - Templeton Emerging Markets Bond A (Mdis) SGD-H1,SGD,5,Y,N,N,Y,1.00%,1.88%,USD 5150.00,1000,100,9.05%,Reinvest,M,0
Fullerton Lux Funds - Asian Bonds A Acc USD,USD,3,Y,N,N,N,1.00%,1.15%,USD 370.91,1000,100,,,,0
UBS (Lux) Equity Fund - Emerging Markets Sustainable Leaders P Acc SGD,SGD,8,Y,N,N,N,1.63%,2.11%,SGD 268.51,1000,500,,,,0
Eastspring Investments - Asian High Yield Bond AADM AUD-H,AUD,5,Y,N,N,N,1.00%,1.44%,USD 482.10,1000,100,6.98%,Payout,M,0
JPMorgan Investment Funds - Global Income A (div) SGD,SGD,5,Y,N,N,Y,1.25%,1.45%,USD 28023.80,1000,500,4.26%,Reinvest,Q,0
BNP Paribas Euro Mid Cap EUR,EUR,10,Y,N,N,N,1.50%,1.97%,EUR 34.00,1000,100,,,,0
Eastspring Investments - China Equity Fund A USD,USD,9,Y,N,N,N,1.50%,2.14%,USD 116.30,1000,100,,,,0
Eastspring Investments - Asian Local Bond AS SGD,SGD,4,Y,N,N,N,1.25%,1.61%,USD 5091.80,1000,100,,,,0
PIMCO Total Return Bond Fund Cl E Acc EUR-H,EUR,3,Y,N,N,Y,1.40%,1.40%,USD 6300.00,1000,100,,,,0
Allianz Dynamic Asian High Yield Bond Cl AMg DIS H2-AUD,AUD,5,Y,N,N,Y,1.25%,1.54%,USD 965.00,1000,100,8.29%,Payout,M,0
Allianz Dynamic Asian High Yield Bond Cl AMg DIS H2-EUR,EUR,5,Y,N,N,Y,1.25%,1.55%,USD 965.00,1000,100,7.23%,Payout,M,0
PIMCO Diversified Income Fund Cl E Acc USD,USD,4,Y,N,N,Y,1.59%,1.59%,USD 18800.00,1000,100,,,,0
PIMCO Emerging Markets Bond Fund Cl E Acc EUR-H,EUR,5,Y,N,N,Y,1.69%,1.69%,USD 5300.00,1000,100,,,,0
PIMCO Emerging Markets Bond Fund Cl E Acc SGD-H,SGD,5,Y,N,N,Y,1.69%,1.69%,USD 5300.00,1000,500,,,,0
NN (L) Global Equity Impact Opportunities P USD,USD,7,Y,N,N,Y,1.50%,1.80%,EUR 416.02,1000,500,,,,0
Nikko AM Global Dividend Equity Dis SGD-H,SGD,7,Y,N,N,Y,1.50%,1.70%,USD 70.62,1000,100,5.04%,Payout,M,0
HGIF - Asia ex Japan Equity Smaller Companies AD USD,USD,10,Y,N,N,N,1.50%,1.85%,USD 811.50,1000,100,0.46%,Reinvest,Y,0
Fullerton Lux Funds - Asia Growth and Income Equities A Acc SGD,SGD,8,Y,N,N,Y,1.50%,1.67%,SGD 286.79,1000,100,,,,0
FTIF - Templeton Global Bond A (Mdis) USD,USD,3,Y,N,N,N,0.75%,1.40%,USD 7480.00,1000,100,4.61%,Reinvest,M,0
Manulife Singapore Equity A SGD,SGD,8,Y,N,N,Y,1.50%,2.26%,SGD 9.41,1000,100,,,,0
Schroder ISF Global Dividend Maximiser A Acc SGD,SGD,7,Y,N,N,N,1.50%,1.86%,USD 1502.56,1500,100,,,,0
Schroder ISF Latin American A Acc SGD,SGD,9,Y,N,N,N,1.50%,1.88%,USD 215.75,1500,100,,,,0
Allianz US High Yield Cl AM DIS USD,USD,4,Y,N,N,Y,1.00%,1.36%,USD 1133.47,1000,100,6.42%,Payout,M,0
LionGlobal Japan Fund SGD,SGD,8,Y,N,N,Y,1.25%,2.16%,SGD 7.40,1000,100,,,,0
LionGlobal Asia Pacific SGD,SGD,8,Y,N,N,Y,1.50%,1.69%,SGD 125.00,1000,100,,,,0
FTIF - Franklin US Government A (Mdis) USD,USD,2,Y,N,N,N,0.65%,1.28%,USD 1290.00,1000,100,2.97%,Payout,M,0
FTIF - Franklin Global Convertible Securities A (acc) USD,USD,5,Y,N,N,N,0.75%,1.56%,USD 1920.00,1000,100,,,,0
FSSA Regional China A Acc USD,USD,8,Y,N,N,N,1.50%,1.72%,USD 536.90,1000,100,,,,0
Nikko AM Shenton Short Term Bond SGD,SGD,1,Y,Y,Y,Y,0.30%,0.39%,SGD 364.81,500,100,,,,0
Schroder AS Commodity A Acc USD,USD,10,Y,N,N,N,1.50%,1.92%,USD 481.45,10000,5000,,,,0
United Asia Pacific Growth Fund SGD,SGD,8,Y,N,N,Y,1.00%,2.56%,SGD 25.25,1000,100,,,,0
HSBC Portfolios - World Selection 1 AC USD,USD,6,Y,N,N,N,1.00%,1.22%,USD 459.02,1000,100,,,,0
HSBC Portfolios - World Selection 5 AC USD,USD,6,Y,N,N,N,1.30%,1.53%,USD 354.93,1000,100,,,,0
